symbol,base,quote,usd_vol,last,vol_metric,liq_score,vol_score,score,xp_score,score_xp
USDT/USD,USDT,USD,2216490.2722,0.9995,0.00025997220527741125,1.0,0.4299772266319576,0.8004920293211851,0.0,0.8004920293211851
SOL/USD,SOL,USD,751192.97971,197.21,0.0006046185452978339,0.0,1.0,0.35,0.0,0.35
BTC/USD,BTC,USD,942632.9272556,112297.03,0.00027094573715985906,0.20980644004054133,0.44812673919287693,0.2932185447438588,0.0,0.2932185447438588
ETH/USD,ETH,USD,1018943.035092,4650.46,7.924443228932332e-05,0.2817499653107443,0.1310651697762391,0.22901028687366748,0.0,0.22901028687366748
